GSSCode,Borough,Yr,Accidents,Average
E09000001,City of London,2013,345,360
E09000002,Barking and Dagenham,2013,520,678
E09000003,Barnet,2013,1228,1255
E09000004,Bexley,2013,470,558
E09000005,Brent,2013,957,1074
E09000006,Bromley,2013,788,898
E09000007,Camden,2013,865,990
E09000008,Croydon,2013,1092,1083
E09000009,Ealing,2013,1150,1215
E09000010,Enfield,2013,1012,1052
E09000011,Greenwich,2013,689,804
E09000012,Hackney,2013,890,984
E09000013,Hammersmith and Fulham,2013,678,726
E09000014,Haringey,2013,918,1216
E09000015,Harrow,2013,442,513
E09000016,Havering,2013,673,780
E09000017,Hillingdon,2013,700,880
E09000018,Hounslow,2013,903,1002
E09000019,Islington,2013,860,902
E09000020,Kensington and Chelsea,2013,725,749
E09000021,Kingston upon Thames,2013,470,410
E09000022,Lambeth,2013,1347,1417
E09000023,Lewisham,2013,940,1019
E09000024,Merton,2013,513,586
E09000025,Newham,2013,830,1028
E09000026,Redbridge,2013,798,940
E09000027,Richmond upon Thames,2013,530,511
E09000028,Southwark,2013,992,1121
E09000029,Sutton,2013,485,454
E09000030,Tower Hamlets,2013,1020,1222
E09000031,Waltham Forest,2013,634,809
E09000032,Wandsworth,2013,1003,1080
E09000033,Westminster,2013,1732,1773
E09000001,City of London,2014,390,360
E09000002,Barking and Dagenham,2014,649,678
E09000003,Barnet,2014,1276,1255
E09000004,Bexley,2014,556,558
E09000005,Brent,2014,1067,1074
E09000006,Bromley,2014,868,898
E09000007,Camden,2014,1037,990
E09000008,Croydon,2014,1114,1083
E09000009,Ealing,2014,1290,1215
E09000010,Enfield,2014,1003,1052
E09000011,Greenwich,2014,770,804
E09000012,Hackney,2014,1020,984
E09000013,Hammersmith and Fulham,2014,763,726
E09000014,Haringey,2014,1100,1216
E09000015,Harrow,2014,593,513
E09000016,Havering,2014,773,780
E09000017,Hillingdon,2014,944,880
E09000018,Hounslow,2014,1063,1002
E09000019,Islington,2014,968,902
E09000020,Kensington and Chelsea,2014,790,749
E09000021,Kingston upon Thames,2014,474,410
E09000022,Lambeth,2014,1392,1417
E09000023,Lewisham,2014,1039,1019
E09000024,Merton,2014,617,586
E09000025,Newham,2014,965,1028
E09000026,Redbridge,2014,999,940
E09000027,Richmond upon Thames,2014,609,511
E09000028,Southwark,2014,1114,1121
E09000029,Sutton,2014,420,454
E09000030,Tower Hamlets,2014,1221,1222
E09000031,Waltham Forest,2014,952,809
E09000032,Wandsworth,2014,1124,1080
E09000033,Westminster,2014,1825,1773
E09000001,City of London,2015,382,360
E09000002,Barking and Dagenham,2015,622,678
E09000003,Barnet,2015,1320,1255
E09000004,Bexley,2015,554,920
E09000005,Brent,2015,1089,1074
E09000006,Bromley,2015,943,898
E09000007,Camden,2015,1086,990
E09000008,Croydon,2015,1047,1083
E09000009,Ealing,2015,1196,1215
E09000010,Enfield,2015,1051,1052
E09000011,Greenwich,2015,788,804
