GSSCode,Borough,Yr,Accidents,Road length
E09000001,City of London,2013,345,55.2
E09000002,Barking and Dagenham,2013,520,340.3
E09000003,Barnet,2013,1228,762.8
E09000004,Bexley,2013,470,560.1
E09000005,Brent,2013,957,487.4
E09000006,Bromley,2013,788,906.2
E09000007,Camden,2013,865,282.5
E09000008,Croydon,2013,1092,778.1
E09000009,Ealing,2013,1150,587.8
E09000010,Enfield,2013,1012,640.5
E09000011,Greenwich,2013,689,502.6
E09000012,Hackney,2013,890,277.1
E09000013,Hammersmith and Fulham,2013,678,220.8
E09000014,Haringey,2013,918,356.7
E09000015,Harrow,2013,442,474.1
E09000016,Havering,2013,673,660.7
E09000017,Hillingdon,2013,700,757.6
E09000018,Hounslow,2013,903,499.3
E09000019,Islington,2013,860,238
E09000020,Kensington and Chelsea,2013,725,204.9
E09000021,Kingston upon Thames,2013,470,344.8
E09000022,Lambeth,2013,1347,383.1
E09000023,Lewisham,2013,940,457
E09000024,Merton,2013,513,376.4
E09000025,Newham,2013,830,426.8
E09000026,Redbridge,2013,798,533
E09000027,Richmond upon Thames,2013,530,415
E09000028,Southwark,2013,992,393.4
E09000029,Sutton,2013,485,432.2
E09000030,Tower Hamlets,2013,1020,285.1
E09000031,Waltham Forest,2013,634,425.6
E09000032,Wandsworth,2013,1003,437.4
E09000033,Westminster,2013,1732,339.7
E09000001,City of London,2014,390,55.2
E09000002,Barking and Dagenham,2014,649,340.3
E09000003,Barnet,2014,1276,762.8
E09000004,Bexley,2014,556,560.1
E09000005,Brent,2014,1067,487.4
E09000006,Bromley,2014,868,906.2
E09000007,Camden,2014,1037,282.5
E09000008,Croydon,2014,1114,778.1
E09000009,Ealing,2014,1290,587.8
E09000010,Enfield,2014,1003,640.5
E09000011,Greenwich,2014,770,502.6
E09000012,Hackney,2014,1020,277.1
E09000013,Hammersmith and Fulham,2014,763,220.8
E09000014,Haringey,2014,1100,356.7
E09000015,Harrow,2014,593,474.1
E09000016,Havering,2014,773,660.7
E09000017,Hillingdon,2014,944,757.6
E09000018,Hounslow,2014,1063,499.3
E09000019,Islington,2014,968,238
E09000020,Kensington and Chelsea,2014,790,204.9
E09000021,Kingston upon Thames,2014,474,344.8
E09000022,Lambeth,2014,1392,383.1
E09000023,Lewisham,2014,1039,457
E09000024,Merton,2014,617,376.4
E09000025,Newham,2014,965,426.8
E09000026,Redbridge,2014,999,533
E09000027,Richmond upon Thames,2014,609,415
E09000028,Southwark,2014,1114,393.4
E09000029,Sutton,2014,420,432.2
E09000030,Tower Hamlets,2014,1221,285.1
E09000031,Waltham Forest,2014,952,425.6
E09000032,Wandsworth,2014,1124,437.4
E09000033,Westminster,2014,1825,339.7
E09000001,City of London,2015,339,55.2
E09000002,Barking and Dagenham,2015,592,340.3
E09000003,Barnet,2015,1228,762.8
E09000004,Bexley,2015,524,560.1
E09000005,Brent,2015,1008,487.4
